dataset,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
25%
covid,5.05,98.02,99.82,70.43,96.70
nearood,5.05,98.02,99.82,70.43,96.70
cifar10,8.31,97.66,97.93,96.38,96.70
farood,8.31,97.66,97.93,96.38,96.70

50%
covid,6.39,96.66,99.77,48.44,96.70
nearood,6.39,96.66,99.77,48.44,96.70
cifar10,8.11,97.16,98.36,92.56,96.70
farood,8.11,97.16,98.36,92.56,96.70

75%

covid,1.94,99.09,99.94,77.09,96.70
nearood,1.94,99.09,99.94,77.09,96.70
cifar10,2.23,99.35,99.61,98.71,96.70
farood,2.23,99.35,99.61,98.71,96.70

100%
covid,0.00,100.00,100.00,100.00,96.70
nearood,0.00,100.00,100.00,100.00,96.70
cifar10,0.00,100.00,100.00,100.00,96.70
farood,0.00,100.00,100.00,100.00,96.70
