epoch,time,train_loss,val_loss,val_acc
1,1432,0.3904,0.282,90.9
2,2207,0.2647,0.21,93.05
3,2989,0.1611,0.185,93.91
4,3768,0.1643,0.167,94.45
5,4543,0.1843,0.173,94.13
6,5344,0.1521,0.159,94.87
7,6160,0.1477,0.152,95.05
8,6975,0.0906,0.142,95.53
9,7774,0.0669,0.155,95.09
10,8555,0.057,0.148,95.63
11,9298,0.0479,0.139,95.69
12,10042,0.0712,0.144,96.01
13,10796,0.0541,0.149,95.7
14,11538,0.0762,0.154,95.79
15,12280,0.0351,0.146,96.05
16,13021,0.0254,0.154,95.93
17,13761,0.0125,0.159,95.82
18,14513,0.0148,0.156,96.05
19,15273,0.0323,0.153,96.14
20,16016,0.0374,0.16,96.19
21,16752,0.0104,0.155,96.07
22,17494,0.0075,0.155,96.2
23,18264,0.0204,0.156,96.31
24,19029,0.0055,0.154,96.38
25,19799,0.0051,0.151,96.3
26,20562,0.0056,0.156,96.28
27,21333,0.0098,0.155,96.38
28,22100,0.0059,0.161,96.28
29,22867,0.0233,0.159,96.39
30,23647,0.0084,0.154,96.45
31,24415,0.0432,0.156,96.42
32,25178,0.0053,0.156,96.28
33,25947,0.0114,0.159,96.47
34,26723,0.0027,0.155,96.35
35,27498,0.0015,0.157,96.51
36,28277,0.0408,0.155,96.54
37,29049,0.0045,0.154,96.59
38,29813,0.0056,0.156,96.57
39,30567,0.0022,0.157,96.52
40,31332,0.0026,0.157,96.44
41,32132,0.0475,0.162,96.53
42,33084,0.0021,0.156,96.44
43,34058,0.0041,0.157,96.43
44,35023,0.0023,0.157,96.45
45,35973,0.014,0.16,96.37
46,36930,0.0065,0.159,96.5
47,37889,0.0156,0.156,96.5
48,38721,0.0054,0.159,96.49
49,39574,0.0088,0.159,96.37
50,40439,0.0062,0.161,96.44
